Symbol,Name,LastSale,IPOyear,Country,Sector,industry,Exchange
A,"Agilent Technologies, Inc.",73.86,1999,USA,Capital Goods,Biotechnology,NYSE
AA,Alcoa Corporation,53.11,2016,n/a,Basic Industries,Aluminum,NYSE
AAAP,Advanced Accelerator Applications S.A.,81.95,2015,France,Health Care,Major Pharmaceuticals,Nasdaq
AABA,Altaba Inc.,78.58,N/A,USA,Technology,EDP Services,Nasdaq
AAC,"AAC Holdings, Inc.",9.05,2014,USA,Health Care,Medical Specialities,NYSE
AAL,"American Airlines Group, Inc.",53.05,N/A,USA,Transportation,Air Freight/Delivery Services,Nasdaq
AAMC,Altisource Asset Management Corp,69.6647,N/A,USA,Finance,Real Estate,AMEX
AAME,Atlantic American Corporation,3.6,N/A,USA,Finance,Life Insurance,Nasdaq
AAN,"Aaron&#39;s,  Inc.",41.61,N/A,USA,Technology,Diversified Commercial Services,NYSE
AAOI,"Applied Optoelectronics, Inc.",35.1,2013,USA,Technology,Semiconductors,Nasdaq
AAON,"AAON, Inc.",36.05,N/A,USA,Capital Goods,Industrial Machinery/Components,Nasdaq
AAP,Advance Auto Parts Inc,120.92,N/A,USA,Consumer Services,Other Specialty Stores,NYSE
AAPL,Apple Inc.,171.11,1980,USA,Technology,Computer Manufacturing,Nasdaq
AAT,"American Assets Trust, Inc.",36.19,2011,USA,Consumer Services,Real Estate Investment Trusts,NYSE
AAU,"Almaden Minerals, Ltd.",0.93,2015,Canada,Basic Industries,Precious Metals,AMEX
AAV,Advantage Oil & Gas Ltd,3.55,N/A,Canada,Energy,Oil & Gas Production,NYSE
AAWW,Atlas Air Worldwide Holdings,59.1,N/A,USA,Transportation,Transportation Services,Nasdaq
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,82.25,N/A,USA,N/A,N/A,Nasdaq
AAXN,"Axon Enterprise, Inc.",27.52,N/A,USA,Capital Goods,Ordnance And Accessories,Nasdaq
AB,AllianceBernstein Holding L.P.,27.45,N/A,USA,Finance,Investment Managers,NYSE
ABAC,"Renmin Tianli Group, Inc.",2.91,N/A,China,Consumer Non-Durables,Farming/Seeds/Milling,Nasdaq
ABAX,"ABAXIS, Inc.",64.44,1992,USA,Capital Goods,Industrial Machinery/Components,Nasdaq
ABB,ABB Ltd,28.28,N/A,Switzerland,Consumer Durables,Electrical Products,NYSE
ABBV,AbbVie Inc.,108.3,2012,USA,Health Care,Major Pharmaceuticals,NYSE
ABC,AmerisourceBergen Corporation (Holding Co),104.37,N/A,USA,Health Care,Other Pharmaceuticals,NYSE
ABCB,Ameris Bancorp,53.45,1994,USA,Finance,Major Banks,Nasdaq
ABCD,"Cambium Learning Group, Inc.",7.18,N/A,USA,Consumer Services,Publishing,Nasdaq
ABDC,Alcentra Capital Corp.,8.26,N/A,USA,N/A,N/A,Nasdaq
ABE           ,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,15.49,N/A,USA,N/A,N/A,AMEX
ABEO,Abeona Therapeutics Inc.,17,N/A,USA,Health Care,Major Pharmaceuticals,Nasdaq
