<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
AAME,D,20120102,1.97,1.97,1.97,1.97,0
AAON,D,20120102,9.1067,9.1067,9.1067,9.1067,0
AAPL,D,20120102,57.8571,57.8571,57.8571,57.8571,0
AAWW,D,20120102,38.43,38.43,38.43,38.43,0
AAXJ,D,20120102,49.9,49.9,49.9,49.9,0
ABAX,D,20120102,27.67,27.67,27.67,27.67,0
ABCB,D,20120102,10.28,10.28,10.28,10.28,0
ABCD,D,20120102,3.02,3.02,3.02,3.02,0
ABCO,D,20120102,37.105,37.105,37.105,37.105,0
ABIO,D,20120102,42,42,42,42,0
ABMD,D,20120102,18.47,18.47,18.47,18.47,0
ABTL,D,20120102,3.5,3.5,3.5,3.5,0
ACAD,D,20120102,1.08,1.08,1.08,1.08,0
ACET,D,20120102,6.9,6.9,6.9,6.9,0
ACFC,D,20120102,2.85,2.85,2.85,2.85,0
ACGL,D,20120102,37.23,37.23,37.23,37.23,0
ACHC,D,20120102,9.97,9.97,9.97,9.97,0
ACHN,D,20120102,7.62,7.62,7.62,7.62,0
ACIW,D,20120102,9.5467,9.5467,9.5467,9.5467,0
ACLS,D,20120102,5.32,5.32,5.32,5.32,0
ACNB,D,20120102,13.83,13.83,13.83,13.83,0
ACOR,D,20120102,23.84,23.84,23.84,23.84,0
ACRX,D,20120102,1.92,1.92,1.92,1.92,0
ACTG,D,20120102,36.51,36.51,36.51,36.51,0
ACWI,D,20120102,42.17,42.17,42.17,42.17,0
ACWX,D,20120102,36.81,36.81,36.81,36.81,0
ACXM,D,20120102,12.21,12.21,12.21,12.21,0
ADBE,D,20120102,28.27,28.27,28.27,28.27,0
ADES,D,20120102,11.32,11.32,11.32,11.32,0
ADI,D,20120102,35.78,35.78,35.78,35.78,0
ADP,D,20120102,47.4187,47.4187,47.4187,47.4187,0
ADRA,D,20120102,22.43,22.43,22.43,22.43,0
ADRD,D,20120102,18.69,18.69,18.69,18.69,0
ADRE,D,20120102,38.07,38.07,38.07,38.07,0
ADRU,D,20120102,18.63,18.63,18.63,18.63,0
ADSK,D,20120102,30.33,30.33,30.33,30.33,0
ADTN,D,20120102,30.16,30.16,30.16,30.16,0
ADUS,D,20120102,3.57,3.57,3.57,3.57,0
AEGN,D,20120102,15.34,15.34,15.34,15.34,0
AEHR,D,20120102,0.52,0.52,0.52,0.52,0
AEIS,D,20120102,10.73,10.73,10.73,10.73,0
AETI,D,20120102,5.08,5.08,5.08,5.08,0
AEY,D,20120102,2.1,2.1,2.1,2.1,0
AEZS,D,20120102,924,924,924,924,0
AFAM,D,20120102,16.58,16.58,16.58,16.58,0
AFSI,D,20120102,11.875,11.875,11.875,11.875,0
AGEN,D,20120102,2,2,2,2,0
AGII,D,20120102,28.96,28.96,28.96,28.96,0
AGNC,D,20120102,28.08,28.08,28.08,28.08,0
AGYS,D,20120102,7.95,7.95,7.95,7.95,0
AHGP,D,20120102,51.98,51.98,51.98,51.98,0
AHPI,D,20120102,3.4,3.4,3.4,3.4,0
AIMC,D,20120102,18.83,18.83,18.83,18.83,0
AINV,D,20120102,6.44,6.44,6.44,6.44,0
AIRT,D,20120102,8.49,8.49,8.49,8.49,0
AKAM,D,20120102,32.28,32.28,32.28,32.28,0
AKRX,D,20120102,11.12,11.12,11.12,11.12,0
ALCO,D,20120102,19.37,19.37,19.37,19.37,0
ALGN,D,20120102,23.73,23.73,23.73,23.73,0
ALGT,D,20120102,53.34,53.34,53.34,53.34,0
ALIM,D,20120102,1.25,1.25,1.25,1.25,0
ALKS,D,20120102,17.36,17.36,17.36,17.36,0
ALLT,D,20120102,15.2,15.2,15.2,15.2,0
ALNY,D,20120102,8.15,8.15,8.15,8.15,0
ALOG,D,20120102,57.32,57.32,57.32,57.32,0
ALOT,D,20120102,7.61,7.61,7.61,7.61,0
ALRN,D,20120102,2,2,2,2,0
ALSK,D,20120102,3.01,3.01,3.01,3.01,0
ALXN,D,20120102,71.5,71.5,71.5,71.5,0
AMAG,D,20120102,18.91,18.91,18.91,18.91,0
AMAT,D,20120102,10.71,10.71,10.71,10.71,0
AMCN,D,20120102,3.63,3.63,3.63,3.63,0
AMCX,D,20120102,37.58,37.58,37.58,37.58,0
AMD,D,20120102,5.4,5.4,5.4,5.4,0
AMED,D,20120102,10.91,10.91,10.91,10.91,0
AMGN,D,20120102,64.21,64.21,64.21,64.21,0
AMKR,D,20120102,4.36,4.36,4.36,4.36,0
AMNB,D,20120102,19.49,19.49,19.49,19.49,0
AMOT,D,20120102,5.64,5.64,5.64,5.64,0
AMRB,D,20120102,4.55,4.55,4.55,4.55,0
AMRI,D,20120102,2.93,2.93,2.93,2.93,0
AMRN,D,20120102,7.49,7.49,7.49,7.49,0
AMRS,D,20120102,173.1,173.1,173.1,173.1,0
AMSC,D,20120102,36.9,36.9,36.9,36.9,0
AMSF,D,20120102,23.25,23.25,23.25,23.25,0
AMSWA,D,20120102,9.45,9.45,9.45,9.45,0
AMTD,D,20120102,15.65,15.65,15.65,15.65,0
AMWD,D,20120102,13.66,13.66,13.66,13.66,0
AMZN,D,20120102,173.1,173.1,173.1,173.1,0
ANAT,D,20120102,73.03,73.03,73.03,73.03,0
ANCB,D,20120102,6.2,6.2,6.2,6.2,0
ANCX,D,20120102,8.8,8.8,8.8,8.8,0
ANDE,D,20120102,29.1067,29.1067,29.1067,29.1067,0
ANGI,D,20120102,16.1,16.1,16.1,16.1,0
ANGO,D,20120102,14.81,14.81,14.81,14.81,0
ANIK,D,20120102,9.8,9.8,9.8,9.8,0
ANSS,D,20120102,57.28,57.28,57.28,57.28,0
ANTH,D,20120102,392.96,392.96,392.96,392.96,0
AOSL,D,20120102,7.31,7.31,7.31,7.31,0
APEI,D,20120102,43.28,43.28,43.28,43.28,0
APOG,D,20120102,12.26,12.26,12.26,12.26,0
APRI,D,20120102,51.6,51.6,51.6,51.6,0
APWC,D,20120102,2.8,2.8,2.8,2.8,0
ARAY,D,20120102,4.23,4.23,4.23,4.23,0
ARCC,D,20120102,15.45,15.45,15.45,15.45,0
ARCI,D,20120102,5,5,5,5,0
ARCW,D,20120102,1.212,1.212,1.212,1.212,0
AREX,D,20120102,29.41,29.41,29.41,29.41,0
ARII,D,20120102,23.93,23.93,23.93,23.93,0
ARKR,D,20120102,13.4,13.4,13.4,13.4,0
ARLP,D,20120102,37.79,37.79,37.79,37.79,0
ARNA,D,20120102,18.7,18.7,18.7,18.7,0
AROW,D,20120102,23.44,23.44,23.44,23.44,0
ARQL,D,20120102,5.64,5.64,5.64,5.64,0
ARRS,D,20120102,10.82,10.82,10.82,10.82,0
ARRY,D,20120102,2.16,2.16,2.16,2.16,0
ARTNA,D,20120102,18.83,18.83,18.83,18.83,0
ARTW,D,20120102,5.12,5.12,5.12,5.12,0
ARTX,D,20120102,1.2,1.2,1.2,1.2,0
ARWR,D,20120102,4.19,4.19,4.19,4.19,0
ASBB,D,20120102,11.7,11.7,11.7,11.7,0
ASCMA,D,20120102,50.72,50.72,50.72,50.72,0
ASFI,D,20120102,7.98,7.98,7.98,7.98,0
ASML,D,20120102,41.79,41.79,41.79,41.79,0
ASNA,D,20120102,14.86,14.86,14.86,14.86,0
ASPS,D,20120102,50.18,50.18,50.18,50.18,0
ASRV,D,20120102,1.95,1.95,1.95,1.95,0
ASRVP,D,20120102,26.19,26.19,26.19,26.19,0
ASTC,D,20120102,0.56,0.56,0.56,0.56,0
ASTE,D,20120102,32.21,32.21,32.21,32.21,0
ASUR,D,20120102,4.2467,4.2467,4.2467,4.2467,0
ASYS,D,20120102,8.51,8.51,8.51,8.51,0
ATAI,D,20120102,7.5,7.5,7.5,7.5,0
ATAX,D,20120102,4.94,4.94,4.94,4.94,0
ATEC,D,20120102,20.64,20.64,20.64,20.64,0
ATHN,D,20120102,49.12,49.12,49.12,49.12,0
ATHX,D,20120102,1.73,1.73,1.73,1.73,0
ATLO,D,20120102,19.5,19.5,19.5,19.5,0
ATNI,D,20120102,39.05,39.05,39.05,39.05,0
ATRC,D,20120102,11.1,11.1,11.1,11.1,0
ATRI,D,20120102,240.23,240.23,240.23,240.23,0
ATRO,D,20120102,29.8417,29.8417,29.8417,29.8417,0
ATSG,D,20120102,4.72,4.72,4.72,4.72,0
ATVI,D,20120102,12.32,12.32,12.32,12.32,0
AUBN,D,20120102,18.52,18.52,18.52,18.52,0
AUDC,D,20120102,3.9,3.9,3.9,3.9,0
AVAV,D,20120102,31.47,31.47,31.47,31.47,0
AVEO,D,20120102,17.2,17.2,17.2,17.2,0
AVGO,D,20120102,28.86,28.86,28.86,28.86,0
AVID,D,20120102,8.53,8.53,8.53,8.53,0
AVNW,D,20120102,21.96,21.96,21.96,21.96,0
AWRE,D,20120102,3,3,3,3,0
AXAS,D,20120102,3.3,3.3,3.3,3.3,0
AXTI,D,20120102,4.17,4.17,4.17,4.17,0
AZPN,D,20120102,17.35,17.35,17.35,17.35,0
BABY,D,20120102,9.43,9.43,9.43,9.43,0
BANF,D,20120102,37.54,37.54,37.54,37.54,0
BANFP,D,20120102,28,28,28,28,0
BANR,D,20120102,17.15,17.15,17.15,17.15,0
BASI,D,20120102,1.25,1.25,1.25,1.25,0
BBBY,D,20120102,57.97,57.97,57.97,57.97,0
BBGI,D,20120102,3.15,3.15,3.15,3.15,0
BBOX,D,20120102,28.04,28.04,28.04,28.04,0
BBRG,D,20120102,17.15,17.15,17.15,17.15,0
BBRY,D,20120102,14.5,14.5,14.5,14.5,0
BBSI,D,20120102,19.96,19.96,19.96,19.96,0
BCBP,D,20120102,10.09,10.09,10.09,10.09,0
BCOM,D,20120102,14.72,14.72,14.72,14.72,0
BCPC,D,20120102,40.54,40.54,40.54,40.54,0
BCRX,D,20120102,2.47,2.47,2.47,2.47,0
BDE,D,20120102,7.47,7.47,7.47,7.47,0
BDGE,D,20120102,19.9,19.9,19.9,19.9,0
BDSI,D,20120102,0.81,0.81,0.81,0.81,0
BEAT,D,20120102,2.37,2.37,2.37,2.37,0
BEBE,D,20120102,8.33,8.33,8.33,8.33,0
BECN,D,20120102,20.23,20.23,20.23,20.23,0
BELFA,D,20120102,21.2,21.2,21.2,21.2,0
BELFB,D,20120102,18.75,18.75,18.75,18.75,0
BFIN,D,20120102,5.52,5.52,5.52,5.52,0
BGCP,D,20120102,5.94,5.94,5.94,5.94,0
BGFV,D,20120102,10.44,10.44,10.44,10.44,0
BIB,D,20120102,8.69,8.69,8.69,8.69,0
BICK,D,20120102,22.68,22.68,22.68,22.68,0
BIDU,D,20120102,116.47,116.47,116.47,116.47,0
BIIB,D,20120102,101.3683,101.3683,101.3683,101.3683,0
BIOC,D,20120102,12.75,12.75,12.75,12.75,0
BIOS,D,20120102,5.46,5.46,5.46,5.46,0
BIS,D,20120102,130.4,130.4,130.4,130.4,0
BJRI,D,20120102,45.32,45.32,45.32,45.32,0
BKCC,D,20120102,8.16,8.16,8.16,8.16,0
BKEP,D,20120102,6.53,6.53,6.53,6.53,0
BKEPP,D,20120102,7.5,7.5,7.5,7.5,0
BKMU,D,20120102,3.18,3.18,3.18,3.18,0
BKSC,D,20120102,10.29,10.29,10.29,10.29,0
BLDP,D,20120102,1.08,1.08,1.08,1.08,0
BLDR,D,20120102,2.04,2.04,2.04,2.04,0
BLIN,D,20120102,3,3,3,3,0
BLKB,D,20120102,27.7,27.7,27.7,27.7,0
BLMT,D,20120102,10.54,10.54,10.54,10.54,0
BLRX,D,20120102,3.17,3.17,3.17,3.17,0
BMRC,D,20120102,37.59,37.59,37.59,37.59,0
BMRN,D,20120102,34.38,34.38,34.38,34.38,0
BMTC,D,20120102,19.49,19.49,19.49,19.49,0
BNCL,D,20120102,8.36,8.36,8.36,8.36,0
BNSO,D,20120102,1.2,1.2,1.2,1.2,0
BOBE,D,20120102,33.54,33.54,33.54,33.54,0
